AUD,CAD,CHF,DKK,GBP,JPY,NOK,NZD,PLN,SEK,USDNEXTD
15.738,15.412,11.521,74.501,8.811,127.39,94.657,17.011,43.52,103.706,11.652
15.753,15.502,11.538,74.52,8.806,128.19,94.672,16.975,43.38,103.461,11.72
15.787,15.56,11.552,74.525,8.815,128.48,94.846,16.963,43.449,103.557,11.697
15.676,15.484,11.521,74.533,8.792,128.2,94.36,16.863,43.221,103.322,11.779
15.665,15.471,11.517,74.531,8.784,128.19,94.329,16.874,43.227,103.208,11.791
15.719,15.448,11.507,74.524,8.756,127.63,94.301,16.865,43.294,103.178,11.778
15.706,15.405,11.527,74.516,8.784,127.7,94.651,16.862,43.166,102.799,11.795
15.697,15.396,11.522,74.539,8.793,127.55,94.858,16.795,43.135,103.103,11.807
15.657,15.342,11.566,74.518,8.776,128.49,94.464,16.738,43.042,102.465,11.838
15.581,15.301,11.566,74.505,8.732,128.27,94.551,16.711,42.795,102.055,11.927
15.595,15.326,11.581,74.512,8.738,128.48,94.586,16.704,42.863,101.972,11.944
15.466,15.159,11.535,74.51,8.723,127.98,94.134,16.582,42.858,101.136,11.915
15.558,15.312,11.621,74.5,8.815,130.1,94.449,16.784,42.769,101.491,11.85
15.508,15.286,11.59,74.508,8.783,129.64,94.572,16.762,42.812,101.526,11.864
15.482,15.292,11.61,74.498,8.81,129.66,94.779,16.769,42.657,102.078,11.922
15.501,15.283,11.606,74.488,8.786,129,94.883,16.758,42.778,102.506,11.96
15.485,15.211,11.594,74.488,8.774,128.91,94.805,16.731,42.785,102.477,11.988
15.472,15.306,11.569,74.49,8.79,129.44,95.068,16.788,42.755,102.643,11.951
15.356,15.238,11.612,74.452,8.778,129.72,95.142,16.738,42.664,102.825,11.993
15.383,15.199,11.537,74.425,8.747,128.66,95.052,16.682,42.816,102.55,12.079
15.301,15.125,11.557,74.424,8.788,128.47,94.977,16.643,42.74,102.45,12.13
15.419,15.117,11.536,74.44,8.738,127.89,95.46,16.717,43.008,102.923,12.103
15.408,15.098,11.522,74.439,8.736,127.73,95.418,16.699,43.037,102.907,12.161
15.449,15.151,11.526,74.421,8.79,127.23,95.631,16.704,43.162,103.051,12.232
15.392,15.014,11.537,74.421,8.775,127.02,95.432,16.689,43.037,102.756,12.209
15.376,15.023,11.44,74.431,8.707,125.52,95.594,16.715,43.346,103.349,12.288
15.404,15.101,11.55,74.473,8.73,127.19,95.261,16.741,43.014,102.564,12.346
15.468,15.168,11.597,74.49,8.755,128.12,95.32,16.891,43.09,102.154,12.373
15.435,15.115,11.533,74.505,8.759,127.47,95.208,16.843,43.144,102.129,12.37
15.47,15.097,11.621,74.488,8.764,128.04,94.911,16.928,43.099,102.672,12.38
15.471,15.009,11.644,74.493,8.767,128.75,94.66,16.909,43.022,102.465,12.331
15.548,15.099,11.694,74.482,8.78,130.62,94.956,16.987,42.844,102.357,12.327
15.552,15.078,11.76,74.463,8.741,130.95,94.929,16.974,42.896,102.269,12.367
15.675,15.171,11.753,74.511,8.726,130.44,95.567,17.04,43.029,103.101,12.356
15.699,15.103,11.811,74.474,8.754,130.65,95.777,17.15,42.956,103.009,12.321
15.709,15.098,11.822,74.476,8.764,130.34,95.397,17.12,42.725,102.783,12.283
15.842,15.24,11.853,74.497,8.798,130.62,96.146,17.251,42.959,102.814,12.24
15.848,15.281,11.934,74.493,8.819,130.79,95.794,17.252,42.731,103.074,12.278
15.835,15.28,11.951,74.524,8.813,130.66,95.575,17.141,42.672,102.661,12.27
15.817,15.212,11.954,74.493,8.748,130.34,95.364,17.112,42.499,103.077,12.302
15.876,15.232,11.912,74.485,8.758,130.05,95.713,16.962,42.628,103.149,12.323
15.91,15.365,11.885,74.481,8.794,129.47,96.582,17.023,42.806,104.629,12.302
15.851,15.357,11.954,74.505,8.838,130.06,96.225,16.991,42.611,105.343,12.308
15.857,15.364,11.959,74.483,8.831,130.51,96.34,17.037,42.475,105.246,12.403
15.918,15.401,11.96,74.497,8.8,130.91,96.489,17.024,42.66,105.663,12.443
15.949,15.398,11.943,74.493,8.81,131.28,97.071,17.085,42.685,106.557,12.353
16.012,15.409,11.95,74.515,8.77,131.76,97,17.122,42.759,106.123,12.302
16.033,15.514,11.966,74.502,8.802,132.06,96.82,17.167,42.381,105.677,12.338
15.998,15.56,11.984,74.504,8.694,132.27,96.55,17.121,42.091,105.03,12.242
16.022,15.573,11.971,74.498,8.73,132.29,96.768,17.139,42.279,104.868,12.335
16.078,15.618,11.958,74.494,8.752,133.07,96.953,17.201,42.278,104.155,12.289
16.087,15.699,11.974,74.486,8.758,133.12,96.672,17.182,42.072,104.072,12.305
16.055,15.687,11.942,74.481,8.774,132.72,96.294,17.081,42.018,104.015,12.367
16.015,15.678,11.975,74.48,8.761,132.3,96.131,17.05,41.73,103.786,12.39
15.971,15.645,11.992,74.481,8.712,132.57,96.201,16.978,41.667,103.765,12.334
15.896,15.627,11.986,74.478,8.658,132.69,96.038,16.906,41.649,103.989,12.307
15.928,15.522,11.951,74.483,8.634,132.37,96.013,16.846,41.634,103.956,12.312
15.912,15.554,11.885,74.478,8.659,132.61,96.258,16.813,41.528,104.197,12.413
15.874,15.553,11.867,74.474,8.664,132.37,95.872,16.757,41.68,104.489,12.404
15.897,15.512,11.866,74.463,8.723,132.31,95.791,16.712,41.781,103.635,12.336
15.947,15.558,11.844,74.456,8.717,132.07,96,16.807,41.845,102.966,12.317
15.92,15.572,11.826,74.469,8.719,132.46,96.317,16.784,41.867,102.579,12.268
16.005,15.644,11.781,74.467,8.716,131.54,95.915,16.864,41.936,102.974,12.194
15.999,15.703,11.782,74.479,8.741,131.34,96.173,16.908,41.997,103.068,12.232
15.927,15.605,11.792,74.467,8.72,131.44,95.852,16.818,41.944,103.041,12.318
15.911,15.679,11.797,74.503,8.728,131.1,96.069,16.805,42.009,103.158,12.293
15.968,15.715,11.765,74.496,8.759,130.81,96.179,16.91,41.948,102.965,12.331
16.051,15.885,11.753,74.493,8.79,130.27,97.031,17.055,42.114,103.232,12.284
16.047,15.889,11.757,74.531,8.774,130.96,96.736,17.029,42.172,102.798,12.338
16.02,15.85,11.767,74.55,8.743,130.92,96.456,17.002,42.093,102.832,12.408
